org_id,org_name,role,required_skills,domain,location,mode,duration_weeks,eligibility,min_experience,openings,stipend,deadline
O0001,Organization_1,Finance Fellow,"Excel, Web Development",Design,Pune,Remote,8,High School,Intermediate,7,2000,2026-08-25
O0002,Organization_2,Marketing Volunteer,"Public Speaking, Video Editing",Marketing,Mumbai,On-site,4,High School,Intermediate,5,2000,2026-09-10
O0003,Organization_3,Research Fellow,"Content Writing, Research, SQL, Video Editing",Marketing,Mumbai,Hybrid,8,Undergraduate,Intermediate,3,8000,2026-09-04
O0004,Organization_4,Finance Fellow,"C++, JavaScript, Photography, Project Management, React",Healthcare,Remote,On-site,24,Postgraduate,Beginner,10,0,2026-09-30
O0005,Organization_5,Research Intern,"Graphic Design, Java, Web Development",Design,Bengaluru,Hybrid,8,PhD,Beginner,9,8000,2026-07-22
O0006,Organization_6,Environment Fellow,"C++, Data Analysis, Data Visualization, Fundraising, Photography",Social Work,Hyderabad,On-site,16,Postgraduate,Beginner,4,15000,2026-07-22
O0007,Organization_7,Finance Volunteer,"C++, Data Analysis",Healthcare,Remote,Remote,4,Postgraduate,Intermediate,3,2000,2026-07-24
O0008,Organization_8,Finance Volunteer,"C++, Fundraising, Machine Learning, Photography, Teaching",Environment,Pune,Hybrid,4,Undergraduate,Experienced,7,15000,2026-10-05
O0009,Organization_9,Technology Intern,"Content Writing, Fundraising",Research,Kolkata,Hybrid,24,PhD,Beginner,4,8000,2026-07-31
O0010,Organization_10,Social Work Intern,"Data Analysis, Photography",Finance,Hyderabad,Remote,8,Undergraduate,Beginner,2,15000,2026-08-28
O0011,Organization_11,Community Development Fellow,"First Aid, React",Education,Kolkata,On-site,16,Undergraduate,Experienced,4,0,2026-07-19
O0012,Organization_12,Social Work Intern,"Data Visualization, Graphic Design, Photography, Project Management",Technology,Chennai,Hybrid,8,Undergraduate,Intermediate,5,5000,2026-08-01
O0013,Organization_13,Community Development Fellow,"Community Outreach, Photography, Video Editing",Research,Remote,Hybrid,4,Postgraduate,Experienced,7,15000,2026-07-22
O0014,Organization_14,Finance Volunteer,"Content Writing, Teaching, Web Development",Research,Remote,Hybrid,8,Undergraduate,Intermediate,3,8000,2026-08-24
O0015,Organization_15,Finance Volunteer,"Public Speaking, React, Teaching",Technology,Pune,Hybrid,4,PhD,Intermediate,2,15000,2026-07-22
O0016,Organization_16,Social Work Volunteer,"JavaScript, Machine Learning",Community Development,Mumbai,Remote,16,Undergraduate,Intermediate,5,0,2026-08-08
O0017,Organization_17,Healthcare Fellow,"JavaScript, Project Management, React, Research, Teaching",Technology,Pune,Remote,12,PhD,Intermediate,9,5000,2026-08-11
O0018,Organization_18,Marketing Fellow,"Event Management, First Aid, Fundraising, Graphic Design, SQL",Technology,Pune,On-site,12,PhD,Beginner,10,2000,2026-08-23
O0019,Organization_19,Social Work Fellow,"Content Writing, Excel, Graphic Design, JavaScript, React",Finance,Mumbai,Remote,16,Postgraduate,Intermediate,8,8000,2026-08-02
O0020,Organization_20,Marketing Intern,"C++, Event Management, First Aid",Environment,Hyderabad,Remote,24,High School,Beginner,1,0,2026-09-11
O0021,Organization_21,Technology Intern,"Java, JavaScript, Python",Design,Pune,Remote,4,PhD,Experienced,8,0,2026-09-05
O0022,Organization_22,Research Volunteer,"Java, Python",Social Work,Chennai,Hybrid,4,PhD,Beginner,2,0,2026-07-15
O0023,Organization_23,Technology Intern,"Machine Learning, Public Speaking, Social Media Marketing, Teaching",Marketing,Kolkata,Remote,16,Undergraduate,Experienced,4,5000,2026-09-20
O0024,Organization_24,Education Intern,"C++, Data Analysis, Event Management, Teaching, Video Editing",Education,Delhi,Hybrid,4,PhD,Intermediate,6,15000,2026-07-25
