user_id,name,skills,education,interests,location,availability,experience,preferred_domain
U0001,User_1,"First Aid, Python",Postgraduate,Technology,Bengaluru,Full-time,Experienced,Research
U0002,User_2,"Community Outreach, Data Visualization",High School,Healthcare,Bengaluru,Part-time,Experienced,Community Development
U0003,User_3,"C++, JavaScript",PhD,Disaster Relief,Chennai,Weekends,Beginner,Environment
U0004,User_4,"Excel, Graphic Design, JavaScript, Public Speaking, SQL",High School,"Child Welfare, Healthcare",Kolkata,Weekends,Experienced,Social Work
U0005,User_5,"First Aid, Fundraising",High School,"Healthcare, Rural Development",Delhi,Weekends,Experienced,Technology
U0006,User_6,"Data Analysis, Photography",Undergraduate,"Healthcare, Technology",Kolkata,Full-time,Intermediate,Social Work
U0007,User_7,"JavaScript, Photography, Social Media Marketing, Video Editing, Web Development",Postgraduate,"Arts & Culture, Healthcare, Startups",Chennai,Part-time,Experienced,Technology
U0008,User_8,"Fundraising, Public Speaking, Teaching",Undergraduate,"Child Welfare, Data Science, Education",Bengaluru,Full-time,Intermediate,Finance
U0009,User_9,"Data Visualization, JavaScript, Machine Learning, Research",Postgraduate,Arts & Culture,Mumbai,Flexible,Experienced,Design
U0010,User_10,"Excel, Public Speaking, React",Postgraduate,"Animal Welfare, Human Rights, Startups",Mumbai,Weekends,Beginner,Environment
U0011,User_11,"Data Analysis, Excel, Machine Learning, SQL, Video Editing",Undergraduate,"Animal Welfare, Healthcare, Human Rights",Mumbai,Flexible,Experienced,Design
U0012,User_12,"C++, First Aid, Photography, Python",High School,"Data Science, Rural Development, Women Empowerment",Kolkata,Weekends,Beginner,Social Work
U0013,User_13,"First Aid, Fundraising, Public Speaking, Python, Web Development",Undergraduate,"Arts & Culture, Healthcare, Women Empowerment",Kolkata,Part-time,Beginner,Marketing
U0014,User_14,"C++, Java, Python",Postgraduate,"Education, Healthcare",Delhi,Weekends,Beginner,Education
U0015,User_15,"Data Visualization, First Aid, Machine Learning",PhD,Data Science,Chennai,Part-time,Beginner,Design
U0016,User_16,"Java, Project Management, Public Speaking",PhD,Rural Development,Kolkata,Part-time,Experienced,Social Work
U0017,User_17,"Fundraising, Java, Photography, Social Media Marketing, Video Editing",PhD,Technology,Bengaluru,Full-time,Intermediate,Education
U0018,User_18,"Data Visualization, Python, React",High School,"Arts & Culture, Education, Technology",Hyderabad,Full-time,Intermediate,Healthcare
U0019,User_19,"Event Management, Photography, Public Speaking",Undergraduate,"Environment, Human Rights, Sports",Chennai,Flexible,Beginner,Design
U0020,User_20,"Community Outreach, JavaScript, Photography, SQL, Social Media Marketing",PhD,"Disaster Relief, Sports",Hyderabad,Full-time,Beginner,Finance
